Services Results,,,,,,,,,,,
,,,,,,,,,,,
Enterprise,,,,,,,,,,,
,,,,,,,,,,,
Country,total_enterprises,,country,avg_growth_percent,,country,avg_enterprise_value,volatility_range,,Country,overall_growth_percentage
Netherlands,313934,,Germany,1406929,,Netherlands,39241.75,-37689,,Spain,100
Sweden,234065,,Spain,14.29,,Sweden,29258.13,1853,,Sweden,0
Germany,189363,,Sweden,0,,Germany,23670.38,-90870,,Italy,0
,,,Italy,0,,Spain,1.25,1,,Germany,0
,,,France,0,,Italy,1,0,,France,0
,,,Netherlands,-16.67,,France,1,0,,Netherlands,-100
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Turnover,,,,,,,,,,,
,,,,,,,,,,,
country,total_turnover,,country,avg_growth_percent,,country,avg_turnover_value,volatility_range,,country,overall_growth_percentage
Netherlands,1769811,,Spain,0.2,,Netherlands,73742.13,-75578.6,,France,100
Sweden,1123739,,Italy,0,,Sweden,46822.47,5904.6,,Sweden,13.67
Spain,581733.6,,Germany,0,,Spain,24238.9,-94769.2,,Italy,0
,,,France,0,,Germany,2.63,1,,Germany,0
,,,Sweden,-0.53,,France,1.88,1,,Spain,-100
,,,Netherlands,-4.82,,Italy,1,0,,Netherlands,-100
,,,,,,,,,,,
,,,,,,,,,,,
Production value,,,,,,,,,,,
,,,,,,,,,,,
country,total_production_value,,country,avg_growth_percent,,country,avg_production_value,volatility_range,,country,overall_growth_percentage
Spain,650172,,Spain,0.74,,Spain,81271.5,21745.7,,Spain,30.1
Netherlands,557910.8,,Italy,0,,Netherlands,69738.85,-64975.8,,Sweden,14
Sweden,381378.5,,Germany,0,,Sweden,47672.31,6166.2,,Italy,0
,,,France,0,,Germany,2,0,,Germany,0
,,,Sweden,-1.61,,France,2,0,,France,0
,,,Netherlands,-19.77,,Italy,1,0,,Netherlands,-100
,,,,,,,,,,,
,,,,,,,,,,,
Services_master_data,,,,,,,,,,,
,,,,,,,,,,,
Country,Avg_growth_percent,Avg_enterprise_Value,Volataility_Range,Overall_growth_Percent,,,,,,,
Sweden,0,29258.13,1853,0,,,,,,,
Spain,14.29,1.25,1,100,,,,,,,
Netherlands,-16.67,39241.75,-37689,-100,,,,,,,
Italy,0,1,0,0,,,,,,,
Germany,1406929,23670.38,-90870,0,,,,,,,
France,0,1,0,0,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Country,Avg_growth_percent,Avg_turnover_Value,Volataility_Range,Overall_growth_Percent,,,,,,,
Sweden,-0.53,46822.47,5904.6,13.67,,,,,,,
Spain,0.2,24238.9,-94769.2,-100,,,,,,,
Netherlands,-4.82,73742.13,-75578.6,-100,,,,,,,
Italy,0,1,0,0,,,,,,,
Germany,0,2.63,1,0,,,,,,,
France,0,1.88,1,100,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Country,Avg_growth_percent,Avg_production_Value,Volataility_Range,Overall_growth_Percent,,,,,,,
Sweden,-1.61,47672.31,6166.2,14,,,,,,,
Spain,0.74,81271.5,21745.7,30.1,,,,,,,
Netherlands,-19.77,69738.85,-64975.8,-100,,,,,,,
Italy,0,1,0,0,,,,,,,
Germany,0,2,0,0,,,,,,,
France,0,2,0,0,,,,,,,
,,,,,,,,,,,
Consolidated,,,,,,,,,,,
Country ,Category,Avg_growth_percent,Avg_value,Volataility_Range,Overall_growth_Percent,,,,,,
Sweden,Enterprise,0,29258.13,1853,0,,,,,,
Spain,Enterprise,14.29,1.25,1,100,,,,,,
Netherlands,Enterprise,-16.67,39241.75,-37689,-100,,,,,,
Italy,Enterprise,0,1,0,0,,,,,,
Germany,Enterprise,1406929,23670.38,-90870,0,,,,,,
France,Enterprise,0,1,0,0,,,,,,
Sweden,Turnover,-0.53,46822.47,5904.6,13.67,,,,,,
Spain,Turnover,0.2,24238.9,-94769.2,-100,,,,,,
Netherlands,Turnover,-4.82,73742.13,-75578.6,-100,,,,,,
Italy,Turnover,0,1,0,0,,,,,,
Germany,Turnover,0,2.63,1,0,,,,,,
France,Turnover,0,1.88,1,100,,,,,,
Sweden,Production_value,-1.61,47672.31,6166.2,14,,,,,,
Spain,Production_value,0.74,81271.5,21745.7,30.1,,,,,,
Netherlands,Production_value,-19.77,69738.85,-64975.8,-100,,,,,,
Italy,Production_value,0,1,0,0,,,,,,
Germany,Production_value,0,2,0,0,,,,,,
France,Production_value,0,2,0,0,,,,,,